Batch	Day	Size (µm2)	radius	Volume
Batch 19	Day28	2940463.05	967.459797	3793039714
Batch 19	Day28	3020631.69	980.5594982	3949212125
Batch 19	Day28	2683152.38	924.1612028	3306220441
Batch 19	Day28	2556924.01	902.1608452	3075675635
Batch 19	Day28	3293923.52	1023.957236	4497115763
Batch 19	Day28	2546269.91	900.2793373	3056472250
Batch 19	Day28	2784024.68	941.3727099	3494406477
Batch 19	Day28	2939551.85	967.3098856	3791276752
Batch 19	Day28	2941733.48	967.6687704	3795498159
Batch 20	Day28	3634057.59	1075.526131	5211365198
Batch 20	Day28	3866967.21	1109.456575	5720309597
Batch 20	Day28	2995739.99	976.5109601	3900497245
Batch 20	Day28	3528874.59	1059.847003	4986756209
Batch 20	Day28	2900659.1	960.8894151	3716283501
Batch 20	Day28	3262583.28	1019.074341	4433086541
Batch 20	Day28	3606318.37	1071.413454	5151810696
Batch 20	Day28	3809385.97	1101.165389	5593018646
Batch 21	Day28	3327357.79	1029.140845	4565759745
Batch 21	Day28	2960702.35	970.7836155	3832268442
Batch 21	Day28	3045584.73	984.6013045	3998248931
Batch 21	Day28	3417759.97	1043.027702	4753091103
Batch 21	Day28	3141979.85	1000.061622	4189564621
Batch 21	Day28	3774173.1	1096.064145	5515647749
Batch 21	Day28	3398747.3	1040.122525	4713484830
Batch 21	Day28	3594288.69	1069.624992	5126054682
Batch 21	Day28	3681755.74	1082.56143	5314302347
Batch 21	Day28	2686613.22	924.7570212	3312619251
Batch 17	Day31	4191742.2	1155.107347	6455882948
Batch 17	Day31	4649842.45	1216.589833	7542601398
Batch 17	Day31	3514715.84	1057.718677	4956774116
Batch 17	Day31	4549890.12	1203.44298	7300711100
Batch 17	Day31	5104350.45	1274.662783	8675100734
Batch 17	Day31	4771874.02	1232.450679	7841465835
Batch 17	Day31	3543821.88	1062.089233	5018473417
Batch 18	Day31	4343256.54	1175.798237	6809057845
Batch 18	Day31	4566169.17	1205.593957	7339927943
Batch 18	Day31	3837169	1105.173664	5654317498
Batch 18	Day31	3967357.62	1123.765613	5944506756
Batch 18	Day31	3573865.4	1066.581778	5082426283
Batch 18	Day31	3907095.33	1115.19822	5809581010
Batch 18	Day31	5108941.53	1275.235899	8686807523
